《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
《高等数学》是哪个出版社出版的？	武汉大学出版社	书籍
《线性代数》这本书的出版时间是什么？	2013-12-30	日期
安德烈是哪个国家的人呢？	摩纳哥	行政区划
有谁知道万达广场英文怎么说？	amoy wanda plaza	英文名
李明的出生年月日是什么？	1963	数字
小说《韩娱守护力》完结还是连载呢？	连载	小说
大家知道《夏想》是在哪个网站连载的吗？	潇湘书院	小说
《大学计算机基础》一共有多少页？	272	数字
李明的老家是哪里？	青海湟源	行政区划
大学计算机基础这本书多少钱啊？	25 元	单位
文庙在中国称为什么	文庙	地点
杨明是什么少数民族的人	苗族	民族
西游记属于什么类型的书呢	奇幻	小说
王娟是男性还是女性	女	性别
计算机应用基础是多少开的书	16	数字
陈平来自于哪个国家	中国	历史
张宇的性别是什么	女	性别
城关镇面积有多大	134.27平方公里	单位
城关镇在哪个地区	中国西南	地点
和平村在哪个省市县镇	山东省微山县南阳镇	地点
西城社区是什么时候成立的	2006年6月	日期
茴香中文学名叫什么	茴香	植物
王军是哪年哪月哪日出生	1962年7月	日期
丹顶鹤所属什么界	动物界	生物
有谁知到李军这个人都有什么成就	中国美术学会会员 中国陶瓷协会会员	人物
城关镇的人口规模有多少	5万	单位
匆匆那年英文怎样翻译	back in time	英文名
《兄弟》属于哪种小说	图书 > 小说 > 中国当代小说	小说
多花秋海棠属于哪个门的植物	被子植物门 angiospermae	植物
类胡萝卜素是做什么用的	色素	食品
王军老家在哪	甘肃高台	词语
凤凰山在哪里呀	山西省定襄县	地点
亚历山大一世是哪一天去世的	前323年6月10日	日期
李明是什么族的人	汉族	民族
吉字拼音怎样拼	ji zi	英文名
富兰克林县英文怎样说	franklin county, maine	单位
香橼的拉丁学名怎样说	citrus medic l.	单位
花园村属于什么行政区类别	乡村	词语
打乒乓球的王皓有多高	179cm	单位
魔法少女奈叶都在什么地区播出	日本 香港 台湾	书籍
秋日是什么朝代创作的	唐朝	朝代
哈姆雷特是谁导演的	米歇尔·阿米瑞亚德	人物
江陵之战是哪一年爆发的	219年	日期
蜢科又叫什么	虻科	动物
农历三月三是个什么节日	上巳节	民族
李明在哪里出生的	江苏常熟	城市
大家知道关山月属于什么体裁吗	诗歌	体裁
长柄船蛆属于什么纲	双壳纲	动物
金手指是被子植物还是裸子植物	被子植物	生物
你知道哈姆雷特是哪个国家的电影吗	美国	二战参战国家
费尔南多是什么项目的运动员	足球队员	人物
比较好的福尔摩斯探案全集译者是谁呀	朱莉莉	人物
打网球的李娜体重有多少	65kg	单位
大花组属于哪个目	石竹目 caryophyllales [cronquist系统]	植物
《犯罪学》是谁写的	曹立群 任昕	人物
逸夫小学是九几年创办的	1996年	日期
有人知道文庙面积有多大吗	6647.95平方米	单位
《兄弟》是哪个国家拍的	中文	字词
阿尔法这个游戏有多大啊	114.92mb	单位
大花组属于哪个属的植物	蝇子草属 silene	生物
哈姆雷特在美国是什么时候上映的	usa 2000年1月24日	日期
一本大学是什么类型的书啊	985工程 211工程	学校
《犯罪学》这本书的出版时间是什么时候	2008年3月	日期
神雕侠侣是什么语的电视剧	华语	称呼
《因为我爱你》是怎样装帧的	平装	书籍
城关镇在哪个省哪个市	中国 湖南省	历史
边境牧羊犬是什么犬种	灰狼	动物
《礼物》的发行时间是什么时候	2010年12月	日期
新的那部神雕侠侣的编剧是谁来着	于正	人物
谁知道历史上萧皇后本名叫什么	萧皇后	人物
请问一下城关镇的电话区号是什么	854	数字
新发村的海拔很高吗，有多少米呀	1700.00米	单位
画家何伟的代表作有哪些	《静物》、《西递村》入选全国建筑美术家作品展；1993年油画《秋之语》入选上海93油画展；1994年作品《花卉》、《窗》入选中国浦东首届中华艺术博览会；1995年作品《残阳》	日期
我想问一下，什么叫红米手机	小米红米手机	电子产品
哈姆雷特的对白原音是什么语的	英语	语言
有谁了解自热米饭是不是含防腐剂	否	字词
张凯有一个绰号叫什么来着	幽灵	影视作品
谁能告诉我一下花衣的注音	ㄏㄨㄚ ㄧ	字词
小时候这首歌原唱是谁	南拳妈妈	演员
东北大学的简称是什么	nu	英文名
有没有城关镇的同志啊，你们那的人口有多少	7.1万人（2008年）	日期
《犯罪学》一共有多少页	336	数字
城关镇的面积有多大	44.41平方公里	单位
有没有认识刘丹的，请问一下她有多高啊	166cm	单位
哈姆雷特片长多少	112分钟	单位
古文中罗罗怎样理解	1. 疏朗放诞。	歌曲
陈佳是什么星座的	天蝎	天文学
干酪菌属属于什么亚纲	同担子菌亚纲	微生物
谁知道黑大咽齿鲷的英文名怎样说	negros wrasse	英文名
王玲的信阳是什么	中共党员	人物
呃……谁知道嘿咻的拼音怎样写	hei xiu	英文名
张敏老家是哪的	河北武安	市
大花组的二名法是什么	silene sect. elisanthe (fenzl) chater et walter	单位
山羊是属于哪个亚纲的	真兽亚纲	动物
历史上的刘瑜是哪个年代的人	金	历史
《红楼梦》的导演是哪位	胡雪扬	人物
海德公园附近的楼盘叫什么名字	海德公园	景点
有人知道新安镇属于什么行政区吗	乡镇	词语
《红楼梦》在哪里上映	中国大陆	地点
谁知道万达广场的面积有多大	53万平方米	单位
电影《哈姆雷特》是哪年出品的	2000年	日期
游戏仙魔变最新版大小是多少	1479610k	单位
城关镇的上级行政区是什么	忻城县	行政区划
《红楼梦》是什么时候上映的呀	2005年	日期
文庙里比较有名的经典是什么	大成殿	地点
丹特丽安的书架日文原名叫什么	ダンタリアンの书架(ダンタリアンのしょか)（dantarian no shoka）	字词
张薇政治面貌是党员还是共青团员	中共党员	人物
城关镇的行政区划代码是什么	451321100	数字
有去过城关镇的吗，哪里是什么样的气候	亚热带季风气候	词语
谁知道王杰是哪年哪月出生的	1963年5月	日期
古代那个陈平是什么时候死的呀	公元前178年	日期
《要听爸爸的话！》是什么类型的丛书	jump comics sq. ching win boy comic	单位
《光荣之路》是彩色的还是黑白的呢	彩色	词语
呃我想请教一下黑叶猴的英文是怎样说的	françois’s langur	单位
城关镇下属的村有多少个	24	数字
有没有玩过怪物猎人的，这个游戏都可以在哪些平台上玩	家用机：ps2、wii、ps3、wii u 掌机：psp、3ds	自然资源
城关镇有几个社区	3	数字
城关镇包括多少个村	21	数字
粉我吧公司的员工口号是什么	do it by yourself!	书籍
哈姆雷特是彩色的还是黑白的	黑白	游戏
有一首歌叫我爱你，这是什么语言的歌曲	国语	字词
谁知道魅族有多少员工啊	2000余人（2010年）	日期
我想问一下林肯县的官方网站是什么	www.co.lincoln.wy.us	单位
思诺思的学名叫什么啊	酒石酸唑吡坦片	药品
万科金域蓝湾是商业建筑还是民用住宅啊	住宅	词语
纳斯达克是什么时候创建的	1971	数字
天龙八部还有什么其他名字吗	新天龙八部	游戏
谁知道奥埃尔巴赫的邮编是什么啊	5222	数字
杨俊来自于哪个国家	中国	历史
斯普林菲尔德是哪个州的	马萨诸塞州	行政区划
《毛泽东》这本书还叫什么	毛泽东革命者与建设者	书籍
辣条适合什么人吃	儿童	词语
杨洋粉们，杨洋是什么血型的啊	o型	房产搜索软件
王宪是什么时候出生的啊	1921年9月	日期
李皇后是什么时候死的	1004年	日期
山羊是哪个亚门的动物	脊椎动物亚门	动物
新房子村属于哪个区有没有知道的	半山区	地点
城关镇的邮编是什么呀	558200	数字
电影《哈姆雷特》有多长时间	130分钟	单位
梅花落作者是谁来着？	鲍照	人物
我想问一下邪恶漫画是属于哪个系列的漫画？	卡列漫画	动漫作品
天宁寺是什么朝代修建的？	明代	朝代
大花组属于哪一个亚科啊？	石竹亚科 caryophylloideae	植物
温泉镇使用什么方言？	官话	语言
还有人记得ngc是什么时候上市的吗？	日本：2001年9月14日[1]	日期
模拟人生是什么时候发行的来着？	2000年2月4日（windows pc） 2000年7月25日（mac os） 2003年3月24日（xbox） 2003年7月9日（playstation 2）	日期
车前薏米粥需要哪些配料	水	物质
博略属于哪个省？	卡尔瓦多斯省	地点
有没有人知道伦敦大学学院的校训呀？	cuncti adsint meritaeque expectent praemia palmae (让所有因其价值应得奖赏的人都来吧)	植物
征服网络评分是多少啊？	9	数字
电视广播有限公司的生日是哪一天呀？	1967年11月19日 （47岁60天，香港九龙广播道）	日期
谁知道李洋是什么星座的？	双鱼座	动漫形象
博士来拜是什么年代的作品？	1461年	日期
秦时明月是什么类型的游戏，玩过的请回答？	网页游戏	游戏
毁灭都市是啥时候上映的？	2013年8月	日期
believe是哪个唱片公司发行的来着？	universal	英文名
你知道圣地亚哥英文名怎么拼吗？	saint jakob	英文名
我想问一下朱江的学历是？	本科	词语
周永康的个人资料有人知道吗，请告诉我一下？	1942年12月（72岁） 中华民国汪精卫政权江苏省无锡县 周元根	日期
蝴蝶是哪里产的？	韩国	地点
工厂食堂面是面向什么对象呀？	巴比	电影
山羊属于什么亚目的？	反刍亚目	生物
我想请问一下影片灰姑娘是哪个公司发行的？	华特·迪士尼	人物
薪酬管理这本书一共印刷了几版？	4	数字
西北大学是什么类型的大学？	综合性全国重点大学	大学
我想知道杨洋签了哪家经纪公司？	天娱传媒	公司
你们知道李明的出生年月吗？	1946年11月	日期
橡树湾的绿化率大概有多少？	30%	地点
赤壁出自于哪里？	《列朝诗集》	书籍
请问财富广场属于哪个地区？	即墨市	地点
迈克尔·杰克逊是什么时候去世的？	2009年6月25日（50岁） 美国加利福尼亚州洛杉矶市荷尔贝山	日期
有没有人知道丽纳尔斯咖啡馆啥时候营业？	09:00-00:00	日期
金恒生eb8300的内存是多大的？	128mb	单位
ultraviolet by paul pairet的人均价多少？	5000	数字
三圣寺原名叫什么呀?	三义庙	历史
李派的创始人叫啥来着？	李少春	人物
请问kindle有多重？	190g	单位
定语一般是什么词？	名词	语言
宕怪星是啥时候被人们发现的？	may 24, 1873	单位
寒神星是什么时候被观测到的？	1862年11月12	日期
文庙还被称为什么？	岳州学宫	地点
双江镇在哪个国家啊？	中国	历史
有人认识刘平吗，他是那个民族的？	汉族	民族
极速冲浪在哪个游戏网站可以找到？	806k	单位
昆腾scalar i80(lsc18-ch4g-132h)的存储容量有多少？	40000gb	单位
莲子杏仁银耳粥的主要食材有啥？	银耳	食品
羧甲基纤维素钠的分子式是啥呀，有人知道吗？	c8h16nao8	单位
城隍庙啥时候建立的呀？	公元1064年	日期
路透社是一家什么样的公司？	上市公司	公司
有人知道warkey软件有多大吗？	927kb	单位
城东社区是啥时候成立的？	2006年8月	日期
有人知道李家村吗，那里年平均气温是多少？	13.5 ℃	歌曲
山西大学一共有多少学生？	6000	数字
万达广场是什么时候开业的呢？	2014年12月6日	日期
请问ipad是什么操作系统的？	ios	英文名
有人知道克里斯蒂安·塔纳塞惯用脚是左脚还是右脚吗？	右脚	电影
nachi 7320c/db 轴承内径尺寸是多少？	100.0000mm	单位
我想知道matahariku的发行时间是什么时候？	2009	数字
阿尔贝托·吉拉迪诺的球衣是几号？	11	数字
宕怪星在小行星分类中是什么类？	main belt	英文名
博士来拜是什么尺寸的？	246 x 243 厘米	地点
民主党前身是什么？	1792年建立的民主共和党	日期
我想知道南山站属于哪个公司？	朝鲜总督府铁道局	组织机构
大庄严论经是什么年代的作品？	晋朝	历史
人民公园占地面积有多少？	50000平方米	单位
请问城关镇的面积有多大？	7 5．1平方公里	单位
天枢的赤经是多少？	11h 03m 43.70s	单位
facebook是一个什么样的网站？	社交网站	网站
巨蟹座的赤纬是什么？	20	数字
城关镇有火车站吗，是什么站？	独山站	地点
华纳我爱经典系列收录了哪些歌手的歌？	杜丽莎	人物
使命召唤：现代战争3游戏的画面怎么样？	好	字词
三星rv411-s0d用的cpu是什么型号的？	intel 酷睿i5 480m	公司
三合乡属于哪个市？	黑龙江省林甸县	地点
长沙站是哪年建成的？	老站1912年；新站1977年	日期
南京工业大学浦江学院的邮编是多少呢？	211816	数字
管理学这本书是哪个出版社出版的？	经济管理出版社	公司
东湖是什么时候开放？	08:00-17:00	日期
请问一下美团网的年营业额有多少？	160亿元（2013年）[3]	日期
有人知道卧龙山在哪里吗？	中国 四川绵阳市梓潼县卧龙镇境内	历史
天龙八部每集有多少分钟？	45分钟	单位
天宁寺是什么时候建成的？	1993年7月15日	日期
索尼kdl-32w650a的定位是什么？	全高清电视	电视
慈云寺是什么时候修建的呀？	唐代	朝代
能给我简要介绍一下《神雕侠侣》吗？	由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。	日期
橡树湾在那个城区？	仓山	地点
